actor_id,first_name,last_name,last_update
1,Penelope,Guiness,15-02-2006 4.34
2,Nick,Wahlberg,15-02-2006 4.34
3,Ed,Chase,15-02-2006 4.34
4,Jennifer,Davis,15-02-2006 4.34
5,Johnny,Lollobrigida,15-02-2006 4.34
6,Bette,Nicholson,15-02-2006 4.34
7,Grace,Mostel,15-02-2006 4.34
8,Matthew,Johansson,15-02-2006 4.34
9,Joe,Swank,15-02-2006 4.34
10,Christian,Gable,15-02-2006 4.34
11,Zero,Cage,15-02-2006 4.34
12,Karl,Berry,15-02-2006 4.34
13,Uma,Wood,15-02-2006 4.34
14,Vivien,Bergen,15-02-2006 4.34
15,Cuba,Olivier,15-02-2006 4.34
16,Fred,Costner,15-02-2006 4.34
17,Helen,Voight,15-02-2006 4.34
18,Dan,Torn,15-02-2006 4.34
19,Bob,Fawcett,15-02-2006 4.34
20,Lucille,Tracy,15-02-2006 4.34
21,Kirsten,Paltrow,15-02-2006 4.34
22,Elvis,Marx,15-02-2006 4.34
23,Sandra,Kilmer,15-02-2006 4.34
24,Cameron,Streep,15-02-2006 4.34
25,Kevin,Bloom,15-02-2006 4.34
26,Rip,Crawford,15-02-2006 4.34
27,Julia,Mcqueen,15-02-2006 4.34
28,Woody,Hoffman,15-02-2006 4.34
29,Alec,Wayne,15-02-2006 4.34
30,Sandra,Peck,15-02-2006 4.34
31,Sissy,Sobieski,15-02-2006 4.34
32,Tim,Hackman,15-02-2006 4.34
33,Milla,Peck,15-02-2006 4.34
34,Audrey,Olivier,15-02-2006 4.34
35,Judy,Dean,15-02-2006 4.34
36,Burt,Dukakis,15-02-2006 4.34
37,Val,Bolger,15-02-2006 4.34
38,Tom,Mckellen,15-02-2006 4.34
39,Goldie,Brody,15-02-2006 4.34
40,Johnny,Cage,15-02-2006 4.34
41,Jodie,Degeneres,15-02-2006 4.34
42,Tom,Miranda,15-02-2006 4.34
43,Kirk,Jovovich,15-02-2006 4.34
44,Nick,Stallone,15-02-2006 4.34
45,Reese,Kilmer,15-02-2006 4.34
46,Parker,Goldberg,15-02-2006 4.34
47,Julia,Barrymore,15-02-2006 4.34
48,Frances,Day-Lewis,15-02-2006 4.34
49,Anne,Cronyn,15-02-2006 4.34
50,Natalie,Hopkins,15-02-2006 4.34
51,Gary,Phoenix,15-02-2006 4.34
52,Carmen,Hunt,15-02-2006 4.34
53,Mena,Temple,15-02-2006 4.34
54,Penelope,Pinkett,15-02-2006 4.34
55,Fay,Kilmer,15-02-2006 4.34
56,Dan,Harris,15-02-2006 4.34
57,Jude,Cruise,15-02-2006 4.34
58,Christian,Akroyd,15-02-2006 4.34
59,Dustin,Tautou,15-02-2006 4.34
60,Henry,Berry,15-02-2006 4.34
61,Christian,Neeson,15-02-2006 4.34
62,Jayne,Neeson,15-02-2006 4.34
63,Cameron,Wray,15-02-2006 4.34
64,Ray,Johansson,15-02-2006 4.34
65,Angela,Hudson,15-02-2006 4.34
66,Mary,Tandy,15-02-2006 4.34
67,Jessica,Bailey,15-02-2006 4.34
68,Rip,Winslet,15-02-2006 4.34
69,Kenneth,Paltrow,15-02-2006 4.34
70,Michelle,Mcconaughey,15-02-2006 4.34
71,Adam,Grant,15-02-2006 4.34
72,Sean,Williams,15-02-2006 4.34
73,Gary,Penn,15-02-2006 4.34
74,Milla,Keitel,15-02-2006 4.34
75,Burt,Posey,15-02-2006 4.34
76,Angelina,Astaire,15-02-2006 4.34
77,Cary,Mcconaughey,15-02-2006 4.34
78,Groucho,Sinatra,15-02-2006 4.34
79,Mae,Hoffman,15-02-2006 4.34
80,Ralph,Cruz,15-02-2006 4.34
81,Scarlett,Damon,15-02-2006 4.34
82,Woody,Jolie,15-02-2006 4.34
83,Ben,Willis,15-02-2006 4.34
84,James,Pitt,15-02-2006 4.34
85,Minnie,Zellweger,15-02-2006 4.34
86,Greg,Chaplin,15-02-2006 4.34
87,Spencer,Peck,15-02-2006 4.34
88,Kenneth,Pesci,15-02-2006 4.34
89,Charlize,Dench,15-02-2006 4.34
90,Sean,Guiness,15-02-2006 4.34
91,Christopher,Berry,15-02-2006 4.34
92,Kirsten,Akroyd,15-02-2006 4.34
93,Ellen,Presley,15-02-2006 4.34
94,Kenneth,Torn,15-02-2006 4.34
95,Daryl,Wahlberg,15-02-2006 4.34
96,Gene,Willis,15-02-2006 4.34
97,Meg,Hawke,15-02-2006 4.34
98,Chris,Bridges,15-02-2006 4.34
99,Jim,Mostel,15-02-2006 4.34
100,Spencer,Depp,15-02-2006 4.34
101,Susan,Davis,15-02-2006 4.34
102,Walter,Torn,15-02-2006 4.34
103,Matthew,Leigh,15-02-2006 4.34
104,Penelope,Cronyn,15-02-2006 4.34
105,Sidney,Crowe,15-02-2006 4.34
106,Groucho,Dunst,15-02-2006 4.34
107,Gina,Degeneres,15-02-2006 4.34
108,Warren,Nolte,15-02-2006 4.34
109,Sylvester,Dern,15-02-2006 4.34
110,Susan,Davis,15-02-2006 4.34
111,Cameron,Zellweger,15-02-2006 4.34
112,Russell,Bacall,15-02-2006 4.34
113,Morgan,Hopkins,15-02-2006 4.34
114,Morgan,Mcdormand,15-02-2006 4.34
115,Harrison,Bale,15-02-2006 4.34
116,Dan,Streep,15-02-2006 4.34
117,Renee,Tracy,15-02-2006 4.34
118,Cuba,Allen,15-02-2006 4.34
119,Warren,Jackman,15-02-2006 4.34
120,Penelope,Monroe,15-02-2006 4.34
121,Liza,Bergman,15-02-2006 4.34
122,Salma,Nolte,15-02-2006 4.34
123,Julianne,Dench,15-02-2006 4.34
124,Scarlett,Bening,15-02-2006 4.34
125,Albert,Nolte,15-02-2006 4.34
126,Frances,Tomei,15-02-2006 4.34
127,Kevin,Garland,15-02-2006 4.34
128,Cate,Mcqueen,15-02-2006 4.34
129,Daryl,Crawford,15-02-2006 4.34
130,Greta,Keitel,15-02-2006 4.34
131,Jane,Jackman,15-02-2006 4.34
132,Adam,Hopper,15-02-2006 4.34
133,Richard,Penn,15-02-2006 4.34
134,Gene,Hopkins,15-02-2006 4.34
135,Rita,Reynolds,15-02-2006 4.34
136,Ed,Mansfield,15-02-2006 4.34
137,Morgan,Williams,15-02-2006 4.34
138,Lucille,Dee,15-02-2006 4.34
139,Ewan,Gooding,15-02-2006 4.34
140,Whoopi,Hurt,15-02-2006 4.34
141,Cate,Harris,15-02-2006 4.34
142,Jada,Ryder,15-02-2006 4.34
143,River,Dean,15-02-2006 4.34
144,Angela,Witherspoon,15-02-2006 4.34
145,Kim,Allen,15-02-2006 4.34
146,Albert,Johansson,15-02-2006 4.34
147,Fay,Winslet,15-02-2006 4.34
148,Emily,Dee,15-02-2006 4.34
149,Russell,Temple,15-02-2006 4.34
150,Jayne,Nolte,15-02-2006 4.34
151,Geoffrey,Heston,15-02-2006 4.34
152,Ben,Harris,15-02-2006 4.34
153,Minnie,Kilmer,15-02-2006 4.34
154,Meryl,Gibson,15-02-2006 4.34
155,Ian,Tandy,15-02-2006 4.34
156,Fay,Wood,15-02-2006 4.34
157,Greta,Malden,15-02-2006 4.34
158,Vivien,Basinger,15-02-2006 4.34
159,Laura,Brody,15-02-2006 4.34
160,Chris,Depp,15-02-2006 4.34
161,Harvey,Hope,15-02-2006 4.34
162,Oprah,Kilmer,15-02-2006 4.34
163,Christopher,West,15-02-2006 4.34
164,Humphrey,Willis,15-02-2006 4.34
165,Al,Garland,15-02-2006 4.34
166,Nick,Degeneres,15-02-2006 4.34
167,Laurence,Bullock,15-02-2006 4.34
168,Will,Wilson,15-02-2006 4.34
169,Kenneth,Hoffman,15-02-2006 4.34
170,Mena,Hopper,15-02-2006 4.34
171,Olympia,Pfeiffer,15-02-2006 4.34
172,Groucho,Williams,15-02-2006 4.34
173,Alan,Dreyfuss,15-02-2006 4.34
174,Michael,Bening,15-02-2006 4.34
175,William,Hackman,15-02-2006 4.34
176,Jon,Chase,15-02-2006 4.34
177,Gene,Mckellen,15-02-2006 4.34
178,Lisa,Monroe,15-02-2006 4.34
179,Ed,Guiness,15-02-2006 4.34
180,Jeff,Silverstone,15-02-2006 4.34
181,Matthew,Carrey,15-02-2006 4.34
182,Debbie,Akroyd,15-02-2006 4.34
183,Russell,Close,15-02-2006 4.34
184,Humphrey,Garland,15-02-2006 4.34
185,Michael,Bolger,15-02-2006 4.34
186,Julia,Zellweger,15-02-2006 4.34
187,Renee,Ball,15-02-2006 4.34
188,Rock,Dukakis,15-02-2006 4.34
189,Cuba,Birch,15-02-2006 4.34
190,Audrey,Bailey,15-02-2006 4.34
191,Gregory,Gooding,15-02-2006 4.34
