inventory_id,film_id,store_id,last_update
1,1,1,15-02-2006 5.09
2,1,1,15-02-2006 5.09
3,1,1,15-02-2006 5.09
4,1,1,15-02-2006 5.09
5,1,2,15-02-2006 5.09
6,1,2,15-02-2006 5.09
7,1,2,15-02-2006 5.09
8,1,2,15-02-2006 5.09
9,2,2,15-02-2006 5.09
10,2,2,15-02-2006 5.09
11,2,2,15-02-2006 5.09
12,3,2,15-02-2006 5.09
13,3,2,15-02-2006 5.09
14,3,2,15-02-2006 5.09
15,3,2,15-02-2006 5.09
16,4,1,15-02-2006 5.09
17,4,1,15-02-2006 5.09
18,4,1,15-02-2006 5.09
19,4,1,15-02-2006 5.09
20,4,2,15-02-2006 5.09
21,4,2,15-02-2006 5.09
22,4,2,15-02-2006 5.09
23,5,2,15-02-2006 5.09
24,5,2,15-02-2006 5.09
25,5,2,15-02-2006 5.09
26,6,1,15-02-2006 5.09
27,6,1,15-02-2006 5.09
28,6,1,15-02-2006 5.09
29,6,2,15-02-2006 5.09
30,6,2,15-02-2006 5.09
31,6,2,15-02-2006 5.09
32,7,1,15-02-2006 5.09
33,7,1,15-02-2006 5.09
34,7,2,15-02-2006 5.09
35,7,2,15-02-2006 5.09
36,7,2,15-02-2006 5.09
37,8,2,15-02-2006 5.09
38,8,2,15-02-2006 5.09
39,8,2,15-02-2006 5.09
40,8,2,15-02-2006 5.09
41,9,1,15-02-2006 5.09
42,9,1,15-02-2006 5.09
43,9,1,15-02-2006 5.09
44,9,2,15-02-2006 5.09
45,9,2,15-02-2006 5.09
46,10,1,15-02-2006 5.09
47,10,1,15-02-2006 5.09
48,10,1,15-02-2006 5.09
49,10,1,15-02-2006 5.09
50,10,2,15-02-2006 5.09
51,10,2,15-02-2006 5.09
52,10,2,15-02-2006 5.09
53,11,1,15-02-2006 5.09
54,11,1,15-02-2006 5.09
55,11,1,15-02-2006 5.09
56,11,1,15-02-2006 5.09
57,11,2,15-02-2006 5.09
58,11,2,15-02-2006 5.09
59,11,2,15-02-2006 5.09
60,12,1,15-02-2006 5.09
61,12,1,15-02-2006 5.09
62,12,1,15-02-2006 5.09
63,12,2,15-02-2006 5.09
64,12,2,15-02-2006 5.09
65,12,2,15-02-2006 5.09
66,12,2,15-02-2006 5.09
67,13,2,15-02-2006 5.09
68,13,2,15-02-2006 5.09
69,13,2,15-02-2006 5.09
70,13,2,15-02-2006 5.09
71,15,1,15-02-2006 5.09
72,15,1,15-02-2006 5.09
73,15,2,15-02-2006 5.09
74,15,2,15-02-2006 5.09
